service,name,longitude,latitude,location_type,file_path,5m_area,5m_total_pop,5m_reachfactor,10m_area,10m_total_pop,10m_reachfactor,15m_area,15m_total_pop,15m_reachfactor,20m_area,20m_total_pop,20m_reachfactor,25m_area,25m_total_pop,25m_reachfactor,30m_area,30m_total_pop,30m_reachfactor
Blackburn with Darwen Borough Council,Blackburn Library,-2.485027,53.749682,destination,344882.45,1194.0,0.988,1491822.2,7883.0,1.0,3536571.37,19770.0,1.0,6231901.69,37570.0,1.0,9752518.78,56283.0,1.0,14410109.97,70772.0,1.0
Blackburn with Darwen Borough Council,Cherry Tree Library,-2.525941,53.729292,destination,270830.37,1225.0,0.7759,978699.78,4053.0,0.7009,2252595.17,7582.0,0.717,4061909.89,10300.0,0.7273,6925178.83,15446.0,0.7936,10378183.84,21374.0,0.8259
Blackburn with Darwen Borough Council,Darwen Library,-2.466151,53.696681,destination,367081.5,1926.0,1.0,1566378.76,7511.0,1.0,3511684.27,14844.0,1.0,5931522.85,20402.0,1.0,8949935.84,25226.0,1.0,12997764.26,28799.0,1.0
Blackburn with Darwen Borough Council,Mill Hill Library,-2.502795,53.734077,destination,383564.37,2199.0,1.0,1511989.78,7476.0,1.0,3254270.96,16220.0,1.0,5725133.08,24723.0,1.0,9129987.06,34664.0,1.0,13276321.25,46659.0,1.0
Blackburn with Darwen Borough Council,Roman Road Library,-2.472202,53.728431,destination,185564.0,574.0,0.5316,1024587.27,3760.0,0.7338,2216649.66,7560.0,0.7056,4221886.91,13439.0,0.7559,6893804.07,19445.0,0.79,10510929.53,30613.0,0.8364
Blackpool Borough Council,Anchorsholme,-3.0325541,53.8699262,destination,380645.67,2127.0,1.0,1416498.0,7484.0,1.0,3138816.54,13293.0,0.9991,5525922.63,20539.0,0.9894,8087925.21,30300.0,0.9268,11109779.89,42284.0,0.8841
Blackpool Borough Council,Blackpool Central,-3.0530804,53.8205816,destination,296718.28,875.0,0.85,1132757.69,5020.0,0.8113,2292206.9,13556.0,0.7296,4008169.17,25847.0,0.7177,6148452.76,37759.0,0.7046,8649043.44,51019.0,0.6883
Blackpool Borough Council,Langdale Library and Laundry Room,-2.9970044,53.7996474,destination,323972.69,2018.0,0.9281,1230140.39,3531.0,0.881,2303262.68,4753.0,0.7332,3819818.13,7702.0,0.6839,6363352.14,13144.0,0.7292,9305976.43,20084.0,0.7405
Blackpool Borough Council,Layton,-3.0326271,53.8271416,destination,427480.19,3055.0,1.0,1537992.87,9343.0,1.0,3312108.48,19604.0,1.0,5973629.01,33107.0,1.0,9344284.73,46250.0,1.0,12717629.35,55851.0,1.0
Blackpool Borough Council,Library @ the Grange,-3.0174658,53.8288974,destination,260086.58,1187.0,0.7451,1153294.22,5133.0,0.826,2737788.47,12198.0,0.8715,5198661.34,17695.0,0.9308,8305401.1,26197.0,0.9517,12042051.35,39235.0,0.9583
